Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,P>2.5,P<2.5,Avg>2.5,Avg<2.5
Norway,Eliteserien,2024,01/04/2024,18:00,Bodo/Glimt,Molde,1,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,02/04/2024,18:00,Bodo/Glimt,Rosenborg,2,1,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,03/04/2024,18:00,Bodo/Glimt,Brann,0,1,A,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,04/04/2024,18:00,Bodo/Glimt,Viking,0,1,A,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,05/04/2024,18:00,Bodo/Glimt,Lillestrom,1,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,06/04/2024,18:00,Bodo/Glimt,Valerenga,0,0,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,07/04/2024,18:00,Bodo/Glimt,Sarpsborg 08,2,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,08/04/2024,18:00,Bodo/Glimt,Hamkam,0,0,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,09/04/2024,18:00,Bodo/Glimt,Kristiansund,3,0,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,10/04/2024,18:00,Bodo/Glimt,Sandefjord,2,1,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,11/04/2024,18:00,Bodo/Glimt,KFUM Oslo,0,0,D,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,12/04/2024,18:00,Molde,Bodo/Glimt,2,1,H,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
Norway,Eliteserien,2024,13/04/2024,18:00,Molde,Rosenborg,0,2,A,2.05,3.5,3.4,2.15,3.6,3.55,2.0,3.45,3.35,1.85,1.95,1.8,1.9
