Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,B365>2.5,B365<2.5
T1,05/08/2022,Fenerbahce,Galatasaray,0,1,A,2.1,3.4,3.3,1.9,1.9
T1,06/08/2022,Fenerbahce,Besiktas,3,0,H,2.1,3.4,3.3,1.9,1.9
T1,07/08/2022,Fenerbahce,Trabzonspor,0,0,D,2.1,3.4,3.3,1.9,1.9
T1,08/08/2022,Fenerbahce,Basaksehir,2,0,H,2.1,3.4,3.3,1.9,1.9
T1,09/08/2022,Fenerbahce,Sivasspor,1,0,H,2.1,3.4,3.3,1.9,1.9
T1,10/08/2022,Fenerbahce,Konyaspor,5,1,H,2.1,3.4,3.3,1.9,1.9
T1,11/08/2022,Fenerbahce,Antalyaspor,3,1,H,2.1,3.4,3.3,1.9,1.9
T1,12/08/2022,Fenerbahce,Kayserispor,2,2,D,2.1,3.4,3.3,1.9,1.9
T1,13/08/2022,Fenerbahce,Alanyaspor,2,0,H,2.1,3.4,3.3,1.9,1.9
T1,14/08/2022,Fenerbahce,Rizespor,1,0,H,2.1,3.4,3.3,1.9,1.9
T1,15/08/2022,Fenerbahce,Gaziantep,1,1,D,2.1,3.4,3.3,1.9,1.9
T1,16/08/2022,Galatasaray,Fenerbahce,2,4,A,2.1,3.4,3.3,1.9,1.9
T1,17/08/2022,Galatasaray,Besiktas,0,2,A,2.1,3.4,3.3,1.9,1.9
T1,18/08/2022,Galatasaray,Trabzonspor,3,1,H,2.1,3.4,3.3,1.9,1.9
T1,19/08/2022,Galatasaray,Basaksehir,0,2,A,2.1,3.4,3.3,1.9,1.9
T1,20/08/2022,Galatasaray,Sivasspor,2,0,H,2.1,3.4,3.3,1.9,1.9
T1,21/08/2022,Galatasaray,Konyaspor,0,0,D,2.1,3.4,3.3,1.9,1.9
T1,22/08/2022,Galatasaray,Antalyaspor,5,3,H,2.1,3.4,3.3,1.9,1.9
T1,23/08/2022,Galatasaray,Kayserispor,4,2,H,2.1,3.4,3.3,1.9,1.9
T1,24/08/2022,Galatasaray,Alanyaspor,2,2,D,2.1,3.4,3.3,1.9,1.9
T1,25/08/2022,Galatasaray,Rizespor,2,1,H,2.1,3.4,3.3,1.9,1.9
T1,26/08/2022,Galatasaray,Gaziantep,2,1,H,2.1,3.4,3.3,1.9,1.9
T1,27/08/2022,Besiktas,Fenerbahce,3,2,H,2.1,3.4,3.3,1.9,1.9
T1,28/08/2022,Besiktas,Galatasaray,3,1,H,2.1,3.4,3.3,1.9,1.9
T1,29/08/2022,Besiktas,Trabzonspor,1,1,D,2.1,3.4,3.3,1.9,1.9
T1,30/08/2022,Besiktas,Basaksehir,5,0,H,2.1,3.4,3.3,1.9,1.9
T1,31/08/2022,Besiktas,Sivasspor,0,0,D,2.1,3.4,3.3,1.9,1.9
T1,01/09/2022,Besiktas,Konyaspor,3,1,H,2.1,3.4,3.3,1.9,1.9
T1,02/09/2022,Besiktas,Antalyaspor,2,3,A,2.1,3.4,3.3,1.9,1.9
T1,03/09/2022,Besiktas,Kayserispor,1,0,H,2.1,3.4,3.3,1.9,1.9
T1,04/09/2022,Besiktas,Alanyaspor,3,3,D,2.1,3.4,3.3,1.9,1.9
T1,05/09/2022,Besiktas,Rizespor,1,0,H,2.1,3.4,3.3,1.9,1.9
T1,06/09/2022,Besiktas,Gaziantep,0,0,D,2.1,3.4,3.3,1.9,1.9
T1,07/09/2022,Trabzonspor,Fenerbahce,0,0,D,2.1,3.4,3.3,1.9,1.9
T1,08/09/2022,Trabzonspor,Galatasaray,1,1,D,2.1,3.4,3.3,1.9,1.9
T1,09/09/2022,Trabzonspor,Besiktas,1,0,H,2.1,3.4,3.3,1.9,1.9
T1,10/09/2022,Trabzonspor,Basaksehir,4,0,H,2.1,3.4,3.3,1.9,1.9
T1,11/09/2022,Trabzonspor,Sivasspor,1,3,A,2.1,3.4,3.3,1.9,1.9
T1,12/09/2022,Trabzonspor,Konyaspor,1,0,H,2.1,3.4,3.3,1.9,1.9
T1,13/09/2022,Trabzonspor,Antalyaspor,2,2,D,2.1,3.4,3.3,1.9,1.9
T1,14/09/2022,Trabzonspor,Kayserispor,2,1,H,2.1,3.4,3.3,1.9,1.9
T1,15/09/2022,Trabzonspor,Alanyaspor,1,1,D,2.1,3.4,3.3,1.9,1.9
T1,16/09/2022,Trabzonspor,Rizespor,2,3,A,2.1,3.4,3.3,1.9,1.9
T1,17/09/2022,Trabzonspor,Gaziantep,0,1,A,2.1,3.4,3.3,1.9,1.9
T1,18/09/2022,Basaksehir,Fenerbahce,2,1,H,2.1,3.4,3.3,1.9,1.9
T1,19/09/2022,Basaksehir,Galatasaray,1,1,D,2.1,3.4,3.3,1.9,1.9
T1,20/09/2022,Basaksehir,Besiktas,2,1,H,2.1,3.4,3.3,1.9,1.9
T1,21/09/2022,Basaksehir,Trabzonspor,0,0,D,2.1,3.4,3.3,1.9,1.9
T1,22/09/2022,Basaksehir,Sivasspor,1,0,H,2.1,3.4,3.3,1.9,1.9
T1,23/09/2022,Basaksehir,Konyaspor,2,0,H,2.1,3.4,3.3,1.9,1.9
T1,24/09/2022,Basaksehir,Antalyaspor,1,1,D,2.1,3.4,3.3,1.9,1.9
T1,25/09/2022,Basaksehir,Kayserispor,0,1,A,2.1,3.4,3.3,1.9,1.9
T1,26/09/2022,Basaksehir,Alanyaspor,1,1,D,2.1,3.4,3.3,1.9,1.9
T1,27/09/2022,Basaksehir,Rizespor,2,1,H,2.1,3.4,3.3,1.9,1.9
T1,28/09/2022,Basaksehir,Gaziantep,3,1,H,2.1,3.4,3.3,1.9,1.9
T1,29/09/2022,Sivasspor,Fenerbahce,1,0,H,2.1,3.4,3.3,1.9,1.9
T1,30/09/2022,Sivasspor,Galatasaray,0,3,A,2.1,3.4,3.3,1.9,1.9
T1,01/10/2022,Sivasspor,Besiktas,0,4,A,2.1,3.4,3.3,1.9,1.9
T1,02/10/2022,Sivasspor,Trabzonspor,2,1,H,2.1,3.4,3.3,1.9,1.9
T1,03/10/2022,Sivasspor,Basaksehir,3,1,H,2.1,3.4,3.3,1.9,1.9
T1,04/10/2022,Sivasspor,Konyaspor,0,2,A,2.1,3.4,3.3,1.9,1.9
T1,05/10/2022,Sivasspor,Antalyaspor,2,3,A,2.1,3.4,3.3,1.9,1.9
T1,06/10/2022,Sivasspor,Kayserispor,2,3,A,2.1,3.4,3.3,1.9,1.9
T1,07/10/2022,Sivasspor,Alanyaspor,0,1,A,2.1,3.4,3.3,1.9,1.9
T1,08/10/2022,Sivasspor,Rizespor,0,2,A,2.1,3.4,3.3,1.9,1.9
T1,09/10/2022,Sivasspor,Gaziantep,0,1,A,2.1,3.4,3.3,1.9,1.9
T1,10/10/2022,Konyaspor,Fenerbahce,1,1,D,2.1,3.4,3.3,1.9,1.9
T1,11/10/2022,Konyaspor,Galatasaray,1,2,A,2.1,3.4,3.3,1.9,1.9
T1,12/10/2022,Konyaspor,Besiktas,3,1,H,2.1,3.4,3.3,1.9,1.9
T1,13/10/2022,Konyaspor,Trabzonspor,0,0,D,2.1,3.4,3.3,1.9,1.9
T1,14/10/2022,Konyaspor,Basaksehir,1,0,H,2.1,3.4,3.3,1.9,1.9
T1,15/10/2022,Konyaspor,Sivasspor,2,1,H,2.1,3.4,3.3,1.9,1.9
T1,16/10/2022,Konyaspor,Antalyaspor,2,5,A,2.1,3.4,3.3,1.9,1.9
T1,17/10/2022,Konyaspor,Kayserispor,1,2,A,2.1,3.4,3.3,1.9,1.9
T1,18/10/2022,Konyaspor,Alanyaspor,1,2,A,2.1,3.4,3.3,1.9,1.9
T1,19/10/2022,Konyaspor,Rizespor,0,2,A,2.1,3.4,3.3,1.9,1.9
T1,20/10/2022,Konyaspor,Gaziantep,0,6,A,2.1,3.4,3.3,1.9,1.9
T1,21/10/2022,Antalyaspor,Fenerbahce,3,1,H,2.1,3.4,3.3,1.9,1.9
T1,22/10/2022,Antalyaspor,Galatasaray,4,1,H,2.1,3.4,3.3,1.9,1.9
T1,23/10/2022,Antalyaspor,Besiktas,4,3,H,2.1,3.4,3.3,1.9,1.9
T1,24/10/2022,Antalyaspor,Trabzonspor,3,1,H,2.1,3.4,3.3,1.9,1.9
T1,25/10/2022,Antalyaspor,Basaksehir,2,1,H,2.1,3.4,3.3,1.9,1.9
T1,26/10/2022,Antalyaspor,Sivasspor,4,1,H,2.1,3.4,3.3,1.9,1.9
T1,27/10/2022,Antalyaspor,Konyaspor,3,2,H,2.1,3.4,3.3,1.9,1.9
T1,28/10/2022,Antalyaspor,Kayserispor,2,0,H,2.1,3.4,3.3,1.9,1.9
T1,29/10/2022,Antalyaspor,Alanyaspor,2,2,D,2.1,3.4,3.3,1.9,1.9
T1,30/10/2022,Antalyaspor,Rizespor,6,2,H,2.1,3.4,3.3,1.9,1.9
T1,31/10/2022,Antalyaspor,Gaziantep,2,1,H,2.1,3.4,3.3,1.9,1.9
T1,01/11/2022,Kayserispor,Fenerbahce,1,4,A,2.1,3.4,3.3,1.9,1.9
T1,02/11/2022,Kayserispor,Galatasaray,2,4,A,2.1,3.4,3.3,1.9,1.9
T1,03/11/2022,Kayserispor,Besiktas,0,1,A,2.1,3.4,3.3,1.9,1.9
T1,04/11/2022,Kayserispor,Trabzonspor,2,1,H,2.1,3.4,3.3,1.9,1.9
T1,05/11/2022,Kayserispor,Basaksehir,3,2,H,2.1,3.4,3.3,1.9,1.9
T1,06/11/2022,Kayserispor,Sivasspor,1,1,D,2.1,3.4,3.3,1.9,1.9
T1,07/11/2022,Kayserispor,Konyaspor,1,3,A,2.1,3.4,3.3,1.9,1.9
T1,08/11/2022,Kayserispor,Antalyaspor,2,2,D,2.1,3.4,3.3,1.9,1.9
T1,09/11/2022,Kayserispor,Alanyaspor,2,3,A,2.1,3.4,3.3,1.9,1.9
T1,10/11/2022,Kayserispor,Rizespor,1,3,A,2.1,3.4,3.3,1.9,1.9
T1,11/11/2022,Kayserispor,Gaziantep,1,1,D,2.1,3.4,3.3,1.9,1.9
T1,12/11/2022,Alanyaspor,Fenerbahce,1,0,H,2.1,3.4,3.3,1.9,1.9
T1,13/11/2022,Alanyaspor,Galatasaray,1,2,A,2.1,3.4,3.3,1.9,1.9
T1,14/11/2022,Alanyaspor,Besiktas,0,0,D,2.1,3.4,3.3,1.9,1.9
T1,15/11/2022,Alanyaspor,Trabzonspor,0,1,A,2.1,3.4,3.3,1.9,1.9
T1,16/11/2022,Alanyaspor,Basaksehir,5,0,H,2.1,3.4,3.3,1.9,1.9
T1,17/11/2022,Alanyaspor,Sivasspor,1,0,H,2.1,3.4,3.3,1.9,1.9
T1,18/11/2022,Alanyaspor,Konyaspor,2,0,H,2.1,3.4,3.3,1.9,1.9
